CurrentDate|ActivityGroup|NikeIncTeam|RetailerId|RetailerName|RetailerDivisionName|StoreNumber|LocationPK|StoreName|EnglishLanguageAddressLine1|EnglishLanguageAddressLine2|EnglishLanguageAddressLine3|EnglishLanguageAddressCity|EnglishLanguageAddressState|EnglishLanguageAddressPostalCode|EnglishLanguageAddressCountry|EnglishLanguageAddressRegion|EnglishLanguageAddressCounty|EnglishLanguageAddressArea|EnglishLanguageAddressProvince|EnglishLanguageStoreRank|EnglishLanguageStoreType|EnglishLanguageDemographic|EnglishLanguageClimate|EnglishLanguageCompStoreInd|EnglishLanguageBBG|EnglishLanguageChannel|LocalLanguageAddressLine1|LocalLanguageAddressLine2|LocalLanguageAddressLine3|LocalLanguageAddressCity|LocalLanguageAddressState|LocalLanguageAddressPostalCode|LocalLanguageAddressCountry|LocalLanguageAddressRegion|LocalLanguageAddressCounty|LocalLanguageAddressArea|LocalLanguageAddressProvince|LocalLanguageStoreRank|LocalLanguageStoreType|LocalLanguageDemographic|LocalLanguageClimate|LocalLanguageCompStoreInd|LocalLanguageInternationalStoreName|LocalLanguageBBG|LocalLanguageChannel|PhoneNumber|OpenDate|CloseDate|SquareFeet|POSId
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|GWANGMIN SPORTS|005048796|-2146097587|MYEONGIL|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NOS STRATEGIC ACCT|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NOS STRATEGIC ACCT|||||0||||||||Mar 27 2012 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG|005049545|-2146090577|IFC MALL|YEONGDEUNGPO-GU GUKJEGEUMYUNG-NO|||SEOUL||000-000||NIKESTORES_STRATEGIC|||||0||||||YEONGDEUNGPO-GU GUKJEGEUMYUNG-NO|||SEOUL||000-000||NIKESTORES_STRATEGIC|||||0||||||||May 23 2012 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG|005051084|-2146065818|LOTTE WORLD|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Nov  6 2012 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG KID TEAM|005050938|-2146065817|EUNGWANG KID TEAM|SONGPA-GU JAMSIL-DONG|||SEOUL||000-000||NIKESTORES_STRATEGIC|||||0||||||SONGPA-GU JAMSIL-DONG|||SEOUL||000-000||NIKESTORES_STRATEGIC|||||0||||||||Oct 24 2012 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|KID TEAM EUNGWANG YUTONG|005051101|-2146065816|KID TEAM EUNGWANG YUTONG|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Nov  6 2012 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG DEPT BETTER|005053270|-2146035534|LOTTE DONGDAEMUN FITIN|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||May 23 2013 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG|005056817|-2145965966|LOTTE WORLD MALL|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Feb 19 2014 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS DCOM KID|005058412|-2145960614|EUNSEONG SPORTS DCOM KID|SONGPA-GU SONGPA-DAERO|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||SONGPA-GU SONGPA-DAERO|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||||Mar 30 2014 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS WCOM KID|005058413|-2145960613|WCOM KID ELLOTTE|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Mar 30 2014 12:00AM|Oct 19 2016 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS NSW BDS|005058410|-2145960612|EUNSEONG SPORTS NSW BDS|SONGPA-GU SONGPA-DAERO|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||SONGPA-GU SONGPA-DAERO|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||||Mar 30 2014 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS NSW DEPT BEST|005058411|-2145960611|NSW LOTTE YOUNG PLAZA MD|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Mar 30 2014 12:00AM|Oct 19 2016 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS KID DEPT BEST|005060190|-2145932382|KID LOTTE YEONGDEUNGPO|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Sep 18 2014 12:00AM|Oct 19 2016 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG DEPT BETTER|005061247|-2145927660|LOTTE GURI MALL|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Nov 27 2014 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG|005061409|-2145926534|GEOYEO|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Dec 17 2014 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS NSW DEPT BEST|005070607|-2145768981|LOTTE GANGNAM KL|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||May 18 2016 12:00AM|Oct 19 2016 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG DEPT BETTER|005062505|-2145896338|NEWCORE GARDEN FIVE|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Mar  5 2015 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS|005062560|-2145896337|EUNSEONG SPORTS|SONGPA-GU SONGPA-DAERO|||SEOUL||000-000||NIKESTORES_KEY|||||0||||||SONGPA-GU SONGPA-DAERO|||SEOUL||000-000||NIKESTORES_KEY|||||0||||||||Mar  9 2015 12:00AM|Oct 19 2016 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS|005062561|-2145896336|MUNJEONG|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Mar  9 2015 12:00AM|Oct 19 2016 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS NSW DEPT BEST|005062562|-2145896335|NSW LOTTE YEONGDEUNGPO|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Mar  9 2015 12:00AM|Oct 19 2016 12:00AM||
